"English","Tamazight_Sentence","Dialect","Tamazight","Tamazight_Latin","Tamazight_Arabic"
"Life","Thudhath","Tarifit","Tⵁⵓⴷⵁⴰⵝⵁ","Thudhath","Thudhath"
"Nails","Ichan","Tarifit","Icⵁⴰⵏ","Ichan","Ichan"
"Brother","Oma","Tarifit","Oⵎⴰ","Oma","Oma"
"Sister","Watchma","Tarifit","Wⴰⵝcⵁⵎⴰ","Watchma","Watchma"
"Moustache","Chragham","Tarifit","Cⵁⵔⴰⴴⵁⴰⵎ","Chragham","Chragham"
"A dream","Ijan zalliz","Tarifit","Iⵊⴰⵏ ⵣⴰⵍⵍⵉⵣ","Ijan zalliz","Ijan zalliz"
"Glasses","Nwadha","Tarifit","Nⵡⴰⴷⵁⴰ","Nwadha","Nwadha"
"Hello, my name is...","Azul, kanayi...","Tarifit","Aⵣⵓⵍ, ⴿⴰⵏⴰⵢⵉ...","Azul, kanayi...","Azul, kanayi..."
"That song reminds me of a certain girl.","Amarg ad isskti iyi d ɣ yat tfruxt.","Tachelhit","Aⵎⴰⵔⴴ ⴰⴷ ⵉⵙⵙⴿⵝⵉ ⵉⵢⵉ ⴷ ⵖ ⵢⴰⵝ ⵝⴼⵔⵓxⵝ.","Amarg ad isskti iyi d ɣ yat tfruxt.","Amarg ad isskti iyi d غ yat tfruxt."
"I returned home by train.","Urriɣ d s tgmmi s ulaway","Tachelhit","Uⵔⵔⵉⵖ ⴷ ⵙ ⵝⴴⵎⵎⵉ ⵙ ⵓⵍⴰⵡⴰⵢ","Urriɣ d s tgmmi s ulaway","Urriغ d s tgmmi s ulaway"
"She went to Paris to study music.","Tfta s Bariz ad taqqra aẓawan.","Tachelhit","Tⴼⵝⴰ ⵙ Bⴰⵔⵉⵣ ⴰⴷ ⵝⴰⵇⵇⵔⴰ ⴰⵥⴰⵡⴰⵏ.","Tfta s Bariz ad taqqra aẓawan.","Tfta s Bariz ad taqqra aẓawan."
"Stay with Tom.","Ɣama d Ṭum.","Tachelhit","Ɣⴰⵎⴰ ⴷ Ṭⵓⵎ.","Ɣama d Ṭum.","Ɣama d Ṭum."
"Where do you live?","Mani thzadgad?","Tarifit","Mⴰⵏⵉ ⵝⵁⵣⴰⴷⴴⴰⴷ?","Mani thzadgad?","Mani thzadgad?"
"How old are you?","Chhar gach/gam man sana?","Tarifit","Cⵁⵁⴰⵔ ⴴⴰcⵁ/ⴴⴰⵎ ⵎⴰⵏ ⵙⴰⵏⴰ?","Chhar gach/gam man sana?","Chhar gach/gam man sana?"
"House","Thaddath","Tarifit","Tⵁⴰⴷⴷⴰⵝⵁ","Thaddath","Thaddath"
"Small","Damzian Tamziant","Tarifit","Dⴰⵎⵣⵉⴰⵏ Tⴰⵎⵣⵉⴰⵏⵝ","Damzian Tamziant","Damzian Tamziant"
"Good morning ","Sbah lkhir","Tarifit","Sⴲⴰⵁ ⵍⴿⵁⵉⵔ","Sbah lkhir","Sbah lkhir"
"Shoes","Thisira","Tarifit","Tⵁⵉⵙⵉⵔⴰ","Thisira","Thisira"
"How","ⵎⵓⵅ ( mux / mukh )","Tarifit","ⵎⵓⵅ ( mux / mukh )","mukh ( mux / mukh )","موخ ( mux / mukh )"
"Come","ⴰⵙⵙⴻⴷ ( Assed )","Tarifit","ⴰⵙⵙⴻⴷ ( Assed )","assed ( Assed )","اسس°د ( Assed )"
"Go","ⴱⵓⴰ ( bua )","Tarifit","ⴱⵓⴰ ( bua )","bua ( bua )","بوا ( bua )"
"What do you want?","ⵎⵉⵏ ⵜⴰⵣⵣⵓⴷ ? ( min tażżud ? )","Tarifit","ⵎⵉⵏ ⵜⴰⵣⵣⵓⴷ ? ( min tażżud ? )","min tazzud ? ( min tażżud ? )","مين تاززود ? ( min tażżud ? )"
"Give me","Awid","Tarifit","Aⵡⵉⴷ","Awid","Awid"
"I'm going to the mosque ","Adahaj ga thamzida","Tarifit","Aⴷⴰⵁⴰⵊ ⴴⴰ ⵝⵁⴰⵎⵣⵉⴷⴰ","Adahaj ga thamzida","Adahaj ga thamzida"
"Table","Tabra","Tarifit","Tⴰⴲⵔⴰ","Tabra","Tabra"
"I won't have enough time to do everything I want to do.","ur rad ṭṭafɣ wakud i kullu tɣawsiwin nna s riɣ ad skrɣ","Tachelhit","ⵓⵔ ⵔⴰⴷ ⵟⵟⴰⴼⵖ ⵡⴰⴿⵓⴷ ⵉ ⴿⵓⵍⵍⵓ ⵝⵖⴰⵡⵙⵉⵡⵉⵏ ⵏⵏⴰ ⵙ ⵔⵉⵖ ⴰⴷ ⵙⴿⵔⵖ","ur rad ṭṭafɣ wakud i kullu tɣawsiwin nna s riɣ ad skrɣ","ur rad ṭṭafغ wakud i kullu tغawsiwin nna s riغ ad skrغ"
"It will be raining at this time tomorrow.","Rad yili unẓar zun d tizi ad azkka.","Tachelhit","Rⴰⴷ ⵢⵉⵍⵉ ⵓⵏⵥⴰⵔ ⵣⵓⵏ ⴷ ⵝⵉⵣⵉ ⴰⴷ ⴰⵣⴿⴿⴰ.","Rad yili unẓar zun d tizi ad azkka.","Rad yili unẓar zun d tizi ad azkka."
"Hi! What's new?","Ssalam! Mad d iggʷran?","Tachelhit","Sⵙⴰⵍⴰⵎ! Mⴰⴷ ⴷ ⵉⴴⴴʷⵔⴰⵏ?","Ssalam! Mad d iggʷran?","Ssalam! Mad d iggʷran?"
"He made his son a wealthy man.","ⵉⵙⴽⵔ ⵖ ⵢⵉⵡⵉⵙ ⵢⴰⵏ ⵓⵔⴳⴰⵣ ⴷⴰⵔ ⵍⴰⴱⴰⵙ.","Tachelhit","ⵉⵙⴽⵔ ⵖ ⵢⵉⵡⵉⵙ ⵢⴰⵏ ⵓⵔⴳⴰⵣ ⴷⴰⵔ ⵍⴰⴱⴰⵙ.","iskr ɣ yiwis yan urgaz dar labas.","يسكر غ ييويس يان ورڭاز دار لاباس."
"This is life!","ⵖⵉⴽ ⴰⴷ ⴰⴷ ⵜⴳⴰ ⵜⵓⴷⵔⵜ","Tachelhit","ⵖⵉⴽ ⴰⴷ ⴰⴷ ⵜⴳⴰ ⵜⵓⴷⵔⵜ","ɣik ad ad tga tudrt","غيك اد اد تڭا تودرت"
"Miss Thomas teaches us history.","ⴰⵔ ⴰⵏⵖ ⵜⵙⵙⵍⵎⴰⴷ ⵎⴰⵙⵙⴰ ⵟⵓⵎⴰⵙ ⴰⵎⵣⵔⵓⵢ.","Tachelhit","ⴰⵔ ⴰⵏⵖ ⵜⵙⵙⵍⵎⴰⴷ ⵎⴰⵙⵙⴰ ⵟⵓⵎⴰⵙ ⴰⵎⵣⵔⵓⵢ.","ar anɣ tsslmad massa ṭumas amzruy.","ار انغ تسسلماد ماسسا طوماس امزروي."
"She studied Japanese after dinner.","ⵜⵖⵔⴰ ⵜⴰⵊⴰⴱⴱⵓⵏⵉⵜ ⴹⴰⵕⴰⵜ ⵏ ⵉⵎⵏⵙⵉ.","Tachelhit","ⵜⵖⵔⴰ ⵜⴰⵊⴰⴱⴱⵓⵏⵉⵜ ⴹⴰⵕⴰⵜ ⵏ ⵉⵎⵏⵙⵉ.","tɣra tajabbunit ḍaṛat n imnsi.","تغرا تاجاببونيت ضارات ن يمنسي."
"He was nearly run over by a car.","ⵄⵍⴰⵢⵏ ⴰⴷ ⵜ ⵜⴱⴱⵊ ⵟⴰⵏⵓⴱⵉⵍ.","Tachelhit","ⵄⵍⴰⵢⵏ ⴰⴷ ⵜ ⵜⴱⴱⵊ ⵟⴰⵏⵓⴱⵉⵍ.","3layn ad t tbbj ṭanubil.","علاين اد ت تببج طانوبيل."
"Give it to me straight.","ⵉⵏⵉ ⵉⵢⵉ ⵜ ⵏⵉⵛⴰⵏ.","Tachelhit","ⵉⵏⵉ ⵉⵢⵉ ⵜ ⵏⵉⵛⴰⵏ.","ini iyi t nishan.","يني ييي ت نيشان."
"How was your night?","ⵎⴰⵏⵉⵎⴽ ⴰ ⵙ ⵉⵣⵔⵉ ⵢⵉⴹ ⵏⵏⴽ?","Tachelhit","ⵎⴰⵏⵉⵎⴽ ⴰ ⵙ ⵉⵣⵔⵉ ⵢⵉⴹ ⵏⵏⴽ?","manimk a s izri yiḍ nnk?","مانيمك ا س يزري ييض ننك?"
"Carol gets up early every morning.","ⴰⵔ ⴷ ⵉⵏⴽⴽⵔ ⴽⴰⵕⵓⵍ ⵣⵉⴽⴽ ⴽⵔⴰⵢⴳⴰⵜ ⴰⵙⵙ.","Tachelhit","ⴰⵔ ⴷ ⵉⵏⴽⴽⵔ ⴽⴰⵕⵓⵍ ⵣⵉⴽⴽ ⴽⵔⴰⵢⴳⴰⵜ ⴰⵙⵙ.","ar d inkkr kaṛul zikk kraygat ass.","ار د ينككر كارول زيكك كرايڭات اسس."
"I don't feel like celebrating.","ⵓⵔ ⴳⵉⴳⵉ ⵉⵍⵍⵉ ⵎⴰⴷ ⵉⵙⴼⵓⴳⵍⵓⵏ. ","Tachelhit","ⵓⵔ ⴳⵉⴳⵉ ⵉⵍⵍⵉ ⵎⴰⴷ ⵉⵙⴼⵓⴳⵍⵓⵏ. ","ur gigi illi mad isfuglun. ","ور ڭيڭي يللي ماد يسفوڭلون. "
"What's Tom like?","ⵎⴰⵏⵉⵎⴽ ⴰⴷ ⵉⴳⴰ ⵟⵓⵎ?","Tachelhit","ⵎⴰⵏⵉⵎⴽ ⴰⴷ ⵉⴳⴰ ⵟⵓⵎ?","manimk ad iga ṭum?","مانيمك اد يڭا طوم?"
"He is constantly complaining.","ⴰⵔ ⴱⴷⴷⴰ ⵉⵜⵜⴰⵛⵛⴽⴽⴰ.","Tachelhit","ⴰⵔ ⴱⴷⴷⴰ ⵉⵜⵜⴰⵛⵛⴽⴽⴰ.","ar bdda ittashshkka.","ار بددا يتتاششككا."
"What does he see?","ⵎⴰⴷ ⵢⴰⵏⵏⵉ?","Tachelhit","ⵎⴰⴷ ⵢⴰⵏⵏⵉ?","mad yanni?","ماد يانني?"
"Tom didn't see any familiar faces at the party.","ⵓⵔ ⵉⵥⵕⵉ ⵟⵓⵎ ⴽⵔⴰ ⵏ ⵡⵓⴷⴰⵎⵡⵏ ⵏⵏⴰ ⵢⵓⴽⵣ ⴳ ⵓⵙⴼⵓⴳⵍⵓ.","Tachelhit","ⵓⵔ ⵉⵥⵕⵉ ⵟⵓⵎ ⴽⵔⴰ ⵏ ⵡⵓⴷⴰⵎⵡⵏ ⵏⵏⴰ ⵢⵓⴽⵣ ⴳ ⵓⵙⴼⵓⴳⵍⵓ.","ur iẓṛi ṭum kra n wudamwn nna yukz g usfuglu.","ور يزّري طوم كرا ن وودامون ننا يوكز ڭ وسفوڭلو."
"Tom called Mary a taxi.","ⵢⵓⵎⵥ ⵟⵓⵎ ⵟⵟⴰⴽⵙⵉ ⵉ ⵎⴰⵔⵉ.","Tachelhit","ⵢⵓⵎⵥ ⵟⵓⵎ ⵟⵟⴰⴽⵙⵉ ⵉ ⵎⴰⵔⵉ.","yumẓ ṭum ṭṭaksi i mari.","يومزّ طوم ططاكسي ي ماري."
"You may take this book so long as you keep it clean.","ⵜⵓⴼⵉⵜ ⴰⴷ ⵜⴰⵡⵉⵜ ⴰⴷⵍⵉⵙ ⴰⴷ ⵉⵖ ⵜ ⵜⵃⴹⵉ ⴱⴰⵛ ⴰⴷ ⵉⵏⵇⵇⵉ.","Tachelhit","ⵜⵓⴼⵉⵜ ⴰⴷ ⵜⴰⵡⵉⵜ ⴰⴷⵍⵉⵙ ⴰⴷ ⵉⵖ ⵜ ⵜⵃⴹⵉ ⴱⴰⵛ ⴰⴷ ⵉⵏⵇⵇⵉ.","tufit ad tawit adlis ad iɣ t tḥḍi bash ad inqqi.","توفيت اد تاويت ادليس اد يغ ت تحضي باش اد ينققي."
"Can you forgive me?","ⵉⵙ ⵜⵓⴼⵉⵜ ⴰⴷ ⵉⵢⵉ ⵜⵙⵙⵓⵔⴼⵜ?","Tachelhit","ⵉⵙ ⵜⵓⴼⵉⵜ ⴰⴷ ⵉⵢⵉ ⵜⵙⵙⵓⵔⴼⵜ?","is tufit ad iyi tssurft?","يس توفيت اد ييي تسسورفت?"
"Tom met a friend of Mary's at the airport.","ⵉⵎⵏⴰⴳⴳⴰⵔ ⵟⵓⵎ ⴷ ⵓⵎⴷⴷⴰⴽⴽⵯⵍ ⵏ ⵎⴰⵔⵉ ⵖ ⵓⵣⴰⴳⵯⵣ.","Tachelhit","ⵉⵎⵏⴰⴳⴳⴰⵔ ⵟⵓⵎ ⴷ ⵓⵎⴷⴷⴰⴽⴽⵯⵍ ⵏ ⵎⴰⵔⵉ ⵖ ⵓⵣⴰⴳⵯⵣ.","imnaggar ṭum d umddakkⵯl n mari ɣ uzagⵯz.","يمناڭڭار طوم د ومدداككⵯل ن ماري غ وزاڭⵯز."
"I go to the library two or three times a week.","ⴰⵔ ⴷ ⵜⵜⴽⴽⴰⵖ ⵜⴰⵙⴷⵍⵉⵙⵜ ⵙⵏⴰⵜ ⵏⵖ ⴽⵕⴰⴹⵜ ⵜⵉⴽⴽⴰⵍ ⵖ ⵉⵎⴰⵍⴰⵙⵙ.","Tachelhit","ⴰⵔ ⴷ ⵜⵜⴽⴽⴰⵖ ⵜⴰⵙⴷⵍⵉⵙⵜ ⵙⵏⴰⵜ ⵏⵖ ⴽⵕⴰⴹⵜ ⵜⵉⴽⴽⴰⵍ ⵖ ⵉⵎⴰⵍⴰⵙⵙ.","ar d ttkkaɣ tasdlist snat nɣ kṛaḍt tikkal ɣ imalass.","ار د تتككاغ تاسدليست سنات نغ كراضت تيككال غ يمالاسس."
"Tom likes Mary, but she doesn't like him.","ⵉⵃⵎⵍ ⵟⵓⵎ ⵎⴰⵔⵉ, ⵎⴰⵛⵛ ⵏⵜⵜⴰⵜ ⵓⵔ ⵜ ⵜⵃⵎⵉⵍ.","Tachelhit","ⵉⵃⵎⵍ ⵟⵓⵎ ⵎⴰⵔⵉ, ⵎⴰⵛⵛ ⵏⵜⵜⴰⵜ ⵓⵔ ⵜ ⵜⵃⵎⵉⵍ.","iḥml ṭum mari, mashsh nttat ur t tḥmil.","يحمل طوم ماري, ماشش نتتات ور ت تحميل."
"I'm tired of studying. Let's go out for a drink.","ⵜⵙⵙⵕⵎⵉ ⵉⵢⵉ ⵜⵉⵖⵔⵉ. ⵢⴰⵍⵍⴰⵀ ⴰⴷ ⵏⴼⴼⵖ ⴰⴷ ⵏⵙⵓ ⴽⵔⴰ.","Tachelhit","ⵜⵙⵙⵕⵎⵉ ⵉⵢⵉ ⵜⵉⵖⵔⵉ. ⵢⴰⵍⵍⴰⵀ ⴰⴷ ⵏⴼⴼⵖ ⴰⴷ ⵏⵙⵓ ⴽⵔⴰ.","tssṛmi iyi tiɣri. yallah ad nffɣ ad nsu kra.","تسسرمي ييي تيغري. ياللاه اد نففغ اد نسو كرا."
"Where is my dad?","ⵎⴰⵏⵉ ⵖ ⵉⵍⵍⴰ ⴱⴰⴱⴰ?","Tachelhit","ⵎⴰⵏⵉ ⵖ ⵉⵍⵍⴰ ⴱⴰⴱⴰ?","mani ɣ illa baba?","ماني غ يللا بابا?"
"I had no choice but to stay.","ⵓⵔ ⵓⴼⵉⵖ ⴰⴱⵍⴰ ⴰⴷ ⵖⴰⵎⴰⵖ.","Tachelhit","ⵓⵔ ⵓⴼⵉⵖ ⴰⴱⵍⴰ ⴰⴷ ⵖⴰⵎⴰⵖ.","ur ufiɣ abla ad ɣamaɣ.","ور وفيغ ابلا اد غاماغ."
"He looks a bit tired.","ⵉⴱⴰⵢⵏ ⴳⵉⵙ ⵉⵙ ⵉⵕⵎⵉ ⵢⴰⵏ ⵉⵎⵉⴽⴽ.","Tachelhit","ⵉⴱⴰⵢⵏ ⴳⵉⵙ ⵉⵙ ⵉⵕⵎⵉ ⵢⴰⵏ ⵉⵎⵉⴽⴽ.","ibayn gis is iṛmi yan imikk.","يباين ڭيس يس يرمي يان يميكك."
"She's not his sister, but his mother.","ⵓⵔ ⵜⴳⵉ ⵎⴰⵙ, ⵎⴰⵙ ⴰⴷ ⵜⴳⴰ.","Tachelhit","ⵓⵔ ⵜⴳⵉ ⵎⴰⵙ, ⵎⴰⵙ ⴰⴷ ⵜⴳⴰ.","ur tgi mas, mas ad tga.","ور تڭي ماس, ماس اد تڭا."
"Tom is living with his parents.","ⵉⵣⴷⵖ ⵟⵓⵎ ⴷ ⵍⵡⴰⵍⵉⴷⴰⵢⵏ ⵏⵏⵙ.","Tachelhit","ⵉⵣⴷⵖ ⵟⵓⵎ ⴷ ⵍⵡⴰⵍⵉⴷⴰⵢⵏ ⵏⵏⵙ.","izdɣ ṭum d lwalidayn nns.","يزدغ طوم د لواليداين ننس."
"We must go there whether we like it or not.","ⵉⵇⵇⴰⵏ ⴷ ⴰⴷ ⵏⴷⴷⵓ ⵙ ⵖⵉⵏⵏ, ⵙⵡⴰ ⵏⵔⴰ ⵙⵡⴰ ⵓⵔ ⵏⵔⵉ.","Tachelhit","ⵉⵇⵇⴰⵏ ⴷ ⴰⴷ ⵏⴷⴷⵓ ⵙ ⵖⵉⵏⵏ, ⵙⵡⴰ ⵏⵔⴰ ⵙⵡⴰ ⵓⵔ ⵏⵔⵉ.","iqqan d ad nddu s ɣinn, swa nra swa ur nri.","يققان د اد نددو س غينن, سوا نرا سوا ور نري."
"Where were you last night?","ⵎⴰⵏⵉ ⵖ ⵜⵜ ⵉⵏⵏ ⵜⴽⴽⵉⵜ ⵉⴹⴳⴰⵎ?","Tachelhit","ⵎⴰⵏⵉ ⵖ ⵜⵜ ⵉⵏⵏ ⵜⴽⴽⵉⵜ ⵉⴹⴳⴰⵎ?","mani ɣ tt inn tkkit iḍgam?","ماني غ تت ينن تككيت يضڭام?"
"I have known John since 1976.","ⵙⵙⵏⵖ ⴷⵊⵓⵏ ⵙⵖ 1976.","Tachelhit","ⵙⵙⵏⵖ ⴷⵊⵓⵏ ⵙⵖ 1976.","ssnɣ djun sɣ 1976.","سسنغ دجون سغ 1976."
"Drinking a lot of water is good for your health.","ⵜⵉⵙⵡⵉ ⵏ ⴽⵉⴳⴰⵏ ⵏ ⵡⴰⵎⴰⵏ ⵜⵀⵢⵢⴰ ⵉ ⵜⴷⵓⵙⵉ.","Central","ⵜⵉⵙⵡⵉ ⵏ ⴽⵉⴳⴰⵏ ⵏ ⵡⴰⵎⴰⵏ ⵜⵀⵢⵢⴰ ⵉ ⵜⴷⵓⵙⵉ.","tiswi n kigan n waman thyya i tdusi.","تيسوي ن كيڭان ن وامان تهييا ي تدوسي."
"Drought comes from lack of rain.","ⵓⵔ ⴷⴰ ⵉⴽⴽⴰⵜ ⵓⵏⵥⴰⵔ, ⴰⵢⵏⵏⴰ ⴰⵙ ⵜⵍⵍⴰ ⵜⴰⵖⴰⵔⵜ.","Central","ⵓⵔ ⴷⴰ ⵉⴽⴽⴰⵜ ⵓⵏⵥⴰⵔ, ⴰⵢⵏⵏⴰ ⴰⵙ ⵜⵍⵍⴰ ⵜⴰⵖⴰⵔⵜ.","ur da ikkat unẓar, aynna as tlla taɣart.","ور دا يككات ونزّار, ايننا اس تللا تاغارت."
"Water is life.","ⴰⵎⴰⵏ ⴰⵢⴷ ⵉⴳⴰⵏ ⵜⵓⴷⵔⵜ.","Central","ⴰⵎⴰⵏ ⴰⵢⴷ ⵉⴳⴰⵏ ⵜⵓⴷⵔⵜ.","aman ayd igan tudrt.","امان ايد يڭان تودرت."
"Go down the river until you reach the sea.","ⴳⴳⵣ ⵉ ⵡⴰⵙⵉⴼ ⴰⵔⴷ ⵏ-ⵜⴰⵡⴹⵜ ⵉⵍⵍ.","Central","ⴳⴳⵣ ⵉ ⵡⴰⵙⵉⴼ ⴰⵔⴷ ⵏ-ⵜⴰⵡⴹⵜ ⵉⵍⵍ.","ggz i wasif ard n-tawḍt ill.","ڭڭز ي واسيف ارد ن-تاوضت يلل."
"How many times does the neighbor water her garden?","ⵎⵛⵜⴰ ⵏ ⵜⵉⴽⴽⴰⵍ ⴰⵢⴷ ⴷⴰ ⵜⵙⵙⵡⴰ ⵜⴰⴷⵊⴰⵔⵜ ⵓⵔⵜⵉ-ⵏⵏⵙ ?","Central","ⵎⵛⵜⴰ ⵏ ⵜⵉⴽⴽⴰⵍ ⴰⵢⴷ ⴷⴰ ⵜⵙⵙⵡⴰ ⵜⴰⴷⵊⴰⵔⵜ ⵓⵔⵜⵉ-ⵏⵏⵙ ?","mshta n tikkal ayd da tsswa tadjart urti-nns ?","مشتا ن تيككال ايد دا تسسوا تادجارت ورتي-ننس ?"
"The rivers and canals are dry, there is no water.","ⵣⵡⴰⵏ ⵉⵙⴰⴼⴼⵏ ⴷ ⵜⵔⴳⴳⵯⵉⵏ, ⵓⵔ ⴷⵉⴳⵙⵏ ⵇⵇⵉⵎⵉⵏ ⵡⴰⵏⴰⵎ. ","Central","ⵣⵡⴰⵏ ⵉⵙⴰⴼⴼⵏ ⴷ ⵜⵔⴳⴳⵯⵉⵏ, ⵓⵔ ⴷⵉⴳⵙⵏ ⵇⵇⵉⵎⵉⵏ ⵡⴰⵏⴰⵎ. ","zwan isaffn d trggⵯin, ur digsn qqimin wanam. ","زوان يساففن د ترڭڭⵯين, ور ديڭسن ققيمين وانام. "
"Drop by drop the boot fills up.","ⵜⵉⵎⵇⵇⵉⵜ ⵙ ⵜⵎⵇⵇⵉⵜ ⴰⵙ ⴷⴰ ⵉⵜⵜⵛⵛⴰⵕ ⵓⴳⴷⴷⵉⴷ.","Central","ⵜⵉⵎⵇⵇⵉⵜ ⵙ ⵜⵎⵇⵇⵉⵜ ⴰⵙ ⴷⴰ ⵉⵜⵜⵛⵛⴰⵕ ⵓⴳⴷⴷⵉⴷ.","timqqit s tmqqit as da ittshshaṛ ugddid.","تيمققيت س تمققيت اس دا يتتششار وڭدديد."
"In some places it rains a lot, but, in others, it rains little.","ⴳ ⴽⴰ ⵏ ⵉⴷⵖⴰⵔⵏ ⴷⴰ ⵉⴽⴽⴰⵜ ⵓⵏⵥⴰⵔ ⴽⵉⴳⴰⵏ, ⵎⴰⵛⴰ, ⴳ ⵡⵉⵢⵢⴰⴹ, ⵓⵔ ⴷⴰ ⵉⴽⴽⴰⵜ ⵖⴰⵙ ⵉⵎⵉⴽⴽ.","Central","ⴳ ⴽⴰ ⵏ ⵉⴷⵖⴰⵔⵏ ⴷⴰ ⵉⴽⴽⴰⵜ ⵓⵏⵥⴰⵔ ⴽⵉⴳⴰⵏ, ⵎⴰⵛⴰ, ⴳ ⵡⵉⵢⵢⴰⴹ, ⵓⵔ ⴷⴰ ⵉⴽⴽⴰⵜ ⵖⴰⵙ ⵉⵎⵉⴽⴽ.","g ka n idɣarn da ikkat unẓar kigan, masha, g wiyyaḍ, ur da ikkat ɣas imikk.","ڭ كا ن يدغارن دا يككات ونزّار كيڭان, ماشا, ڭ وييياض, ور دا يككات غاس يميكك."
"Proposal for a Decalogue of Criteria for the territorialization of interculturality","ⵜⴰⵙⵓⵎⵔⵜ ⵏ ⵜⵉⵖⵍⴰⴼⵉⵏ ⵏ ⵉⵙⴼⵔⵉⵏⵏ ⵏ ⵓⵙⵎⴰⵜⴰ ⴰⵎⵓⵔⴰⵏ ⵏ ⵜⴰⵏⴳⵔⴷⵍⵙⴰⵏⵜ ","Central","ⵜⴰⵙⵓⵎⵔⵜ ⵏ ⵜⵉⵖⵍⴰⴼⵉⵏ ⵏ ⵉⵙⴼⵔⵉⵏⵏ ⵏ ⵓⵙⵎⴰⵜⴰ ⴰⵎⵓⵔⴰⵏ ⵏ ⵜⴰⵏⴳⵔⴷⵍⵙⴰⵏⵜ ","tasumrt n tiɣlafin n isfrinn n usmata amuran n tangrdlsant ","تاسومرت ن تيغلافين ن يسفرينن ن وسماتا اموران ن تانڭردلسانت "
"Start writing the introduction.","ⵣⵡⵓⵔ ⵙ ⵜⵉⵔⵔⴰ ⵏ ⵜⵣⵡⵓⵔⵜ.","Central","ⵣⵡⵓⵔ ⵙ ⵜⵉⵔⵔⴰ ⵏ ⵜⵣⵡⵓⵔⵜ.","zwur s tirra n tzwurt.","زوور س تيررا ن تزوورت."
"Initial observations","ⵉⵙⵏⵉⵖⵉⵙⵏ ⵉⵙⵏⵜⴰⵢⵏ ","Central","ⵉⵙⵏⵉⵖⵉⵙⵏ ⵉⵙⵏⵜⴰⵢⵏ ","isniɣisn isntayn ","يسنيغيسن يسنتاين "
"Why ""criteria"" and not ‘good practices’?","ⵎⴰⵅ ⴰⵙ-ⵏⴻⵏⵏⴰ “ⵉⵙⴼⵔⵉⵏⵏ” ⵓⵔ ⴰⵙ-ⵏⴻⵏⵏⵉ “ⵜⵉⵎⵢⵓⵔⵉⵏ ⵜⵉⴼⴰⵍⴽⴰⵢⵉⵏ” ? ","Central","ⵎⴰⵅ ⴰⵙ-ⵏⴻⵏⵏⴰ “ⵉⵙⴼⵔⵉⵏⵏ” ⵓⵔ ⴰⵙ-ⵏⴻⵏⵏⵉ “ⵜⵉⵎⵢⵓⵔⵉⵏ ⵜⵉⴼⴰⵍⴽⴰⵢⵉⵏ” ? ","makh as-nenna “isfrinn” ur as-nenni “timyurin tifalkayin” ? ","ماخ اس-ن°ننا “يسفرينن” ور اس-ن°نني “تيميورين تيفالكايين” ? "
"Here is a proposal for a format.","ⵀⴰ-ⵏ ⵢⴰⵏ ⵓⵙⵓⵎⵔ ⵏ ⵜⵍⵖⴰ .","Central","ⵀⴰ-ⵏ ⵢⴰⵏ ⵓⵙⵓⵎⵔ ⵏ ⵜⵍⵖⴰ .","ha-n yan usumr n tlɣa .","ها-ن يان وسومر ن تلغا ."
"Proposal for the contents of the “decálogo”","ⴰⵙⵓⵎⵔ ⵏ ⵡⴰⵙⵙⴰⵢ ⵏ “ⵉⵏⵉⴳⵍ” ","Central","ⴰⵙⵓⵎⵔ ⵏ ⵡⴰⵙⵙⴰⵢ ⵏ “ⵉⵏⵉⴳⵍ” ","asumr n wassay n “inigl” ","اسومر ن واسساي ن “ينيڭل” "
"I also want to create the glossary. ","ⵔⵉⵖ ⴰⴷ ⵙⵙⴽⵔⵖ ⴰⵡⴷ ⵜⴰⵎⴰⵡⴰⵍⵜ .","Central","ⵔⵉⵖ ⴰⴷ ⵙⵙⴽⵔⵖ ⴰⵡⴷ ⵜⴰⵎⴰⵡⴰⵍⵜ .","riɣ ad sskrɣ awd tamawalt .","ريغ اد سسكرغ اود تاماوالت ."
"We need universities to write and teach the history of Tamazgha truthfully.","ⵏⵙⵖⴰⵡⵙⴰ ⴰⴷ ⴰⵔⵓⵏⵜ ⵙⵙⵖⵔⵏⵜ ⵜⵙⴷⴰⵡⵉⵢⵉⵏ ⴰⵎⵣⵔⵓⵢ ⵏ ⵜⵎⵣⵖⴰ ⵙ ⵓⴷⴰⴷⴷⵉ .","Central","ⵏⵙⵖⴰⵡⵙⴰ ⴰⴷ ⴰⵔⵓⵏⵜ ⵙⵙⵖⵔⵏⵜ ⵜⵙⴷⴰⵡⵉⵢⵉⵏ ⴰⵎⵣⵔⵓⵢ ⵏ ⵜⵎⵣⵖⴰ ⵙ ⵓⴷⴰⴷⴷⵉ .","nsɣawsa ad arunt ssɣrnt tsdawiyin amzruy n tmzɣa s udaddi .","نسغاوسا اد ارونت سسغرنت تسداوييين امزروي ن تمزغا س وداددي ."
