English,Tamazight,Tamazight_Latin,Tamazight_Arabic
{ $countOfReviewed } sentences are already reviewed. Great job!,{ $countOfReviewed } ⵜⵡⵉⵏⴰⵙ ⴰⴷ ⵢⴰⴷ ⵉⵜⵜⵢⴰⵔⴰⵎⵏ. ⴰⵢⵢⵓⵣ!,{ $countOfReviewed } twinas ad yad ittyaramn. ayyuz!,{ $countOfReviewed } تويناس اد ياد يتتيارامن. اييوز!
Today's Common Voice progress on clips validated,ⴰⵍⴰⵢ ⵏ ⴽⴰⵎⵏⴼⵓⵢⵙ ⴰⵙⵙⴰ ⴳ ⵜⵓⵙⵙⵉⴼⵉⵏ ⵣⵔⵢⵏⵉⵏ,alay n kamnfuys assa g tussifin zrynin,الاي ن كامنفويس اسسا ڭ توسسيفين زرينين
Reject,ⴰⴳⵢ,agy,اڭي
The recording was too quiet.,ⵉⵣⴳⴰ ⵓⵙⵓⵙⵔ ⵙ ⴽⵉⴳⴰⵏ.,izga ususr s kigan.,يزڭا وسوسر س كيڭان.
Macedonian,ⵜⴰⵎⴰⵇⴷⵓⵏⵉⵜ,tamaqdunit,تاماقدونيت
Firefox Home Page,ⵜⴰⵙⵏⴰ ⵏ ⵓⵙⵏⵓⴱⴳ ⵏ ⴼⴰⵢⵔⴼⵓⴽⵙ,tasna n usnubg n fayrfuks,تاسنا ن وسنوبڭ ن فايرفوكس
"Note: When set to 'Visible', this setting can be changed from the <profileLink>Profile page</profileLink>","ⵜⴰⵖⴹⴼⵜ: ⴰⴷⴷⴰⵢ ⵜⵙⵔⵙⴷ 'ⴰⴷ ⵓⵎⴰⵏⵖ', ⵜⵣⵎⵔ ⵜⵙⵖⵍⵜ ⴰ ⴰⴷ ⵜⵏⵏⴼⵍ ⵙⴳ <profileLink>ⵜⴰⵙⵏⴰ ⵏ ⵢⵉⴼⵔⵙ</profileLink>","taghḍft: adday tsrsd 'ad umangh', tzmr tsghlt a ad tnnfl sg <profileLink>tasna n yifrs</profileLink>","تاغضفت: ادداي تسرسد 'اد ومانغ', تزمر تسغلت ا اد تننفل سڭ <profileLink>تاسنا ن ييفرس</profileLink>"
We're making some big changes,ⵍⴰ ⵏⵙⴽⴰⵔ ⴽⵔⴰ ⵏ ⵉⵙⵏⴼⵍⵏ ⵉⵎⵇⵇⵔⴰⵏⵏ,la nskar kra n isnfln imqqrann,لا نسكار كرا ن يسنفلن يمققرانن
Where are these <wikipediaLink>public domain</wikipediaLink> sentences from?,ⵎⴰⵏⵉ ⵙⴳ ⴷ ⴷⴷⴰⵏⵜ ⵜⵡⵉⵏⴰⵙ ⴰⴷ ⵏ <wikipediaLink>ⵡⴰⴳⵍⴰ ⴰⴳⴷⵓⴷⴰⵏ</wikipediaLink>?,mani sg d ddant twinas ad n <wikipediaLink>wagla agdudan</wikipediaLink>?,ماني سڭ د ددانت تويناس اد ن <wikipediaLink>واڭلا اڭدودان</wikipediaLink>?
18.0,18.0,18.0,18.0
No Thanks,ⵓⵀⵓ ⵜⴰⵏⵎⵎⵉⵔⵜ,uhu tanmmirt,وهو تانمميرت
The giant dinosaurs of the Triassic. [read by one voice],ⵉⵣⵎⴰⵡⵏ ⵏ ⵡⴰⵟⵍⴰⵚ. [ⵜⵉⵖⵔⵉ ⵙ ⵢⴰⵏ ⵓⴳⵕⴹ],izmawn n waṭlaṣ. [tighri s yan ugṛḍ],يزماون ن واطلاص. [تيغري س يان وڭرض]
"Common Voice recordings are used by academics, small businesses, and voice recognition enthusiasts to help train and grow publicly available resources like voice models.  Can you let us know why you would like your recordings deleted?","ⵍⴰ ⵜⵜⵓⵙⵎⵔⴰⵙⵏ ⵉⵙⵓⵙⴰⵔ ⵏ ⴽⴰⵎⵏⴼⵓⵢⵙ ⵙⴳ ⵖⵓⵔ ⵉⵎⵙⴷⴰⵡⵉⵢⵏ, ⵜⵉⵎⵙⵙⵏⵜⴰⵢ ⵜⵉⵎⵥⵥⵢⴰⵏⵉⵏ, ⴷ ⵉⵎⵖⵣⴰⵍⵏ ⵏ ⵜⵓⴽⵣⴰ ⵜⴰⴳⵕⴹⴰⵏⵜ, ⵉ ⵜⵡⵉⵙⵉ ⴳ ⵓⵙⴰⵏⵓⵏ ⴷ ⵓⵙⴱⵓⵖⵍⵓ ⵏ ⵉⵙⵓⴳⴰⵎ ⵙⴰⴳⴰⵏⵉⵏ ⵙ ⵓⴳⴷⵓⴷⴰⵏ ⵣⵓⵏ ⴷ ⵜⵉⵎⵓⴷⵎⵉⵡⵉⵏ ⵜⵉⴳⵕⴹⴰⵏⵉⵏ.  ⵉⵙ ⵜⵣⵎⵔⵎ ⴰⴷ ⴰⵏⵖ ⵜⴰⵊⵊⵎ ⴰⴷ ⵏⵙⵙⵏ ⵎⴰⵅⴼ ⵜⵔⴰⵎ ⴰⴷ ⵜⵜⵡⴰⴽⴽⵙⵏ ⵉⵙⵓⵙⴰⵔ ⵏⵏⵓⵏ?","la ttusmrasn isusar n kamnfuys sg ghur imsdawiyn, timssntay timẓẓyanin, d imghzaln n tukza tagṛḍant, i twisi g usanun d usbughlu n isugam saganin s ugdudan zun d timudmiwin tigṛḍanin.  is tzmrm ad angh tajjm ad nssn makhf tram ad ttwakksn isusar nnun?","لا تتوسمراسن يسوسار ن كامنفويس سڭ غور يمسداويين, تيمسسنتاي تيمزّزّيانين, د يمغزالن ن توكزا تاڭرضانت, ي تويسي ڭ وسانون د وسبوغلو ن يسوڭام ساڭانين س وڭدودان زون د تيمودميوين تيڭرضانين.  يس تزمرم اد انغ تاججم اد نسسن ماخف ترام اد تتواككسن يسوسار ننون?"
Exit & Delete clips,"ⴼⴼⵖ, ⵜⴽⴽⵙⴷ ⵜⵓⵙⵙⵉⴼⵉⵏ","ffgh, tkksd tussifin","ففغ, تككسد توسسيفين"
[Should be ‘dinosaurs’],[ⵉⵅⵚⵚⴰ ⴰⴷ ⵜⴳ ‘ⵉⵣⵎⴰⵡⵏ’],[ikhṣṣa ad tg ‘izmawn’],[يخصصا اد تڭ ‘يزماون’]
Fulah,ⵜⴰⴼⵓⵍⴰⵏⵉⵜ,tafulanit,تافولانيت
Contribution Activity,ⴰⵎⵓⵙⵙⵓ ⵏ ⵡⴰⵔⵔⴰⴳ,amussu n warrag,اموسسو ن وارراڭ
We've run out of sentences to record in this language...,ⵙⵎⴰⵔⵏⵜ ⴰⵏⵖ ⵜⵡⵉⵏⴰⵙ ⵃⵎⴰ ⴰⴷ ⵜⵏⵜ ⵜⵙⵓⵙⵔⴷ ⵙ ⵜⵓⵜⵍⴰⵢⵜ ⴰ...,smarnt angh twinas ḥma ad tnt tsusrd s tutlayt a...,سمارنت انغ تويناس حما اد تنت تسوسرد س توتلايت ا...
The count of voice recording hours we have collected so far.,ⵜⴰⵙⵎⴽⵜⴰ ⵏ ⵜⵙⵔⴰⴳⵉⵏ ⵏ ⵓⵙⵓⵙⵔ ⴰⴳⵕⴹⴰⵏ ⵏⵏⴰ ⵏⴳⵔⵓ ⴰⵔ ⵜⵓⵔⴰ.,tasmkta n tsragin n ususr agṛḍan nna ngru ar tura.,تاسمكتا ن تسراڭين ن وسوسر اڭرضان ننا نڭرو ار تورا.
KB,ⴽⵜ,kt,كت
File is too small,ⵉⵎⵥⵥⵉⵢ ⵓⴼⴰⵢⵍⵓ ⵙ ⴽⵉⴳⴰⵏ,imẓẓiy ufaylu s kigan,يمزّزّيي وفايلو س كيڭان
Finish editing first?,ⵙⵎⴷ ⵣⵡⴰⵔ ⴰⵙⵏⴼⵍ?,smd zwar asnfl?,سمد زوار اسنفل?
"Special symbols and punctuation should only be included when absolutely necessary. For example, an apostrophe is included in English words like “don’t” and “we’re” and should be included in the source text, but it’s unlikely you’ll ever need a special symbol like “@” or “#.”","ⵉⵅⵚⵚⴰ ⴰⴷ ⴰⵎⵓⵏ ⵉⵣⵎⵓⵍⵏ ⵉⵎⵥⵍⴰⵢ ⴷ ⵓⵙⵏⵇⴹ ⵖⴰⵙ ⵉⴳ ⵏⵉⵜ ⵜⵜⵢⴰⵙⴰⵔⵏ. ⵙ ⵓⵎⴷⵢⴰ, ⵍⴰ ⵜⴻⵜⵜⴰⵎⵓ ⵜⴽⵔⵣⵉⵍⵍⵓⵜ ⴳ ⵜⴳⵓⵔⵉⵡⵉⵏ ⵜⵉⵎⴰⵣⵉⵖⵉⵏ ⴰⵎ “ⵉⵏ'ⴰⵙ” ⴷ “ⵎ'ⴰⴷ” ⴷ ⵉⵅⵚⵚⴰ ⴰⴷ ⵜⴰⵎⵓ ⴳ ⵓⴹⵕⵉⵚ ⴰⵙⴰⴳⵎ, ⵎⴰⵛⴰ ⵓⵔ ⵔⴰⴷ ⵙⴰⵔ ⵜⴰⵙⵔⴷ ⴽⵔⴰ ⵏ ⵓⵣⵎⵓⵍ ⵉⵎⵥⵍⵉ ⴰⵎ “@” ⵏⵉⵖ “#.”","ikhṣṣa ad amun izmuln imẓlay d usnqḍ ghas ig nit ttyasarn. s umdya, la tettamu tkrzillut g tguriwin timazighin am “in'as” d “m'ad” d ikhṣṣa ad tamu g uḍṛiṣ asagm, masha ur rad sar tasrd kra n uzmul imẓli am “@” nigh “#.”","يخصصا اد امون يزمولن يمزّلاي د وسنقض غاس يڭ نيت تتياسارن. س ومديا, لا ت°تتامو تكرزيللوت ڭ تڭوريوين تيمازيغين ام “ين'اس” د “م'اد” د يخصصا اد تامو ڭ وضريص اساڭم, ماشا ور راد سار تاسرد كرا ن وزمول يمزّلي ام “@” نيغ “#.”"
Abbreviations and Acronyms,ⵉⵣⴳⵣⴰⵍ ⴷ ⵡⵓⴹⴼⵉⵚⵏ,izgzal d wuḍfiṣn,يزڭزال د ووضفيصن
The sentence has a grammatical or spelling error.,ⵜⴰⵡⵉⵏⵙⵜ ⴳⵉⵙ ⵢⴰⵜ ⵜⵣⴳⵍⵜ ⵜⴰⵏⵊⵕⵓⵎⵜ/ⵏ ⵓⵙⵏⵎⴰⵔⵔⴰ.,tawinst gis yat tzglt tanjṛumt/n usnmarra.,تاوينست ڭيس يات تزڭلت تانجرومت/ن وسنماررا.
How do I know whether to approve a voice clip?,ⵎⴰⵏⵎⴽ ⵙ ⵔⴰⴷ ⵙⵙⵏⵖ ⵉⵙ ⴷ ⴰⴷ ⵙⵙⴳⵍⵢⵖ ⴽⵔⴰ ⵏ ⵜⵓⵙⵙⵉⴼⵜ ⵜⴰⴳⵕⴹⵏⵜ?,manmk s rad ssngh is d ad ssglygh kra n tussift tagṛḍnt?,مانمك س راد سسنغ يس د اد سسڭليغ كرا ن توسسيفت تاڭرضنت?
This file was shared via { -send-brand } with end-to-end encryption and a link that automatically expires.,ⵉⵜⵜⵓⴱⴹⴰ ⵓⴼⴰⵢⵍⵓ ⴰ ⵙⴳ { -send-brand } ⵙ ⵓⵙⵙⵏⵜⵍ ⵙⴳ ⵜⴰⵎⴰ ⴰⵔ ⵜⴰⵎⴰ ⴷ ⵢⴰⵏ ⵓⵙⵖⵏ ⵏⵏⴰ ⵉⵜⵜⵎⵎⵜⴰⵜⵏ ⵙ ⵓⵡⵔⵎⴰⵏ.,ittubḍa ufaylu a sg { -send-brand } s ussntl sg tama ar tama d yan usghn nna ittmmtatn s uwrman.,يتتوبضا وفايلو ا سڭ { -send-brand } س وسسنتل سڭ تاما ار تاما د يان وسغن ننا يتتممتاتن س وورمان.
Clip Graveyard,ⴰⵙⵎⴹⵍ ⵏ ⵜⵓⵙⵙⵉⴼⵉⵏ,asmḍl n tussifin,اسمضل ن توسسيفين
Keep links active for up to { $count } days,ⴰⵊⵊⴰⵜ ⵉⵙⵖⴰⵏ ⴰⴷ ⵜⵜⵏⵓⵛⵛⵓⴳⵏ ⴰⵔ { $count } ⵡⵓⵙⵙⴰⵏ,ajjat isghan ad ttnushshugn ar { $count } wussan,اججات يسغان اد تتنوششوڭن ار { $count } ووسسان
Goal reached,ⵉⵜⵜⵢⴰⵡⴰⴹ ⵓⵡⵜⵜⴰⵙ,ittyawaḍ uwttas,يتتياواض ووتتاس
"Numbers. There should be no digits in the source text because they can cause problems when read aloud. The way a number is read depends on context and might introduce confusion in the dataset. For example, the number “2409” could be accurately read as both “twenty-four zero nine” and “two thousand four hundred nine”.","ⵓⵟⵟⵓⵏⵏ. ⵉⵅⵚⵚⴰ ⴰⴷ ⵓⵔ ⵉⵍⵉⵏ ⵉⵣⵡⵉⵍⵏ ⴳ ⵓⴹⵕⵉⵚ ⴰⵙⴰⴳⵎ ⴰⵛⴽⵓ ⵣⵎⵔⵏ ⴰⴷ ⵙⵔⴳⵏ ⴳ ⵉⵎⵓⴽⵔⵉⵙⵏ ⴰⴷⴷⴰⵢ ⵜⵜⵓⵖⵔⴰⵏ ⵙ ⵓⵥⴰⴳⵓ. ⵜⴻⵜⵜⵢⴰⴳⴰⵍ ⵜⵖⴰⵔⴰⵙⵜ ⵏⵏⴰ ⵙ ⵉⵜⵜⵓⵖⵔⴰ ⴽⵔⴰ ⵏ ⵡⵓⵟⵟⵓⵏ ⵙ ⵓⵎⵏⴰⴹ ⴷ ⵜⵖⵉⵢ ⴰⴷ ⵜⵙⵙⵉⴷⴼ ⴰⵔⵡⴰⵢ ⵖⵔ ⵜⴳⵔⵓⵎⵎⴰ ⵏ ⵉⵙⴼⴽⴰ. ⵙ ⵓⵎⴷⵢⴰ, ⵓⵟⵟⵓⵏ “25” ⵉⵖⵉⵢ ⴰⴷ ⵉⵜⵜⵓⵖⵔ ⵙ ⵓⵏⵖⴰⴷ ⴰⵎ “ⵙⵉⵏ ⵉⴷ ⵎⵔⴰⵡ ⴷ ⵙⵎⵎⵓⵙ”, “ⵙⵏⴰⵜ ⵜⵎⵔⴰⵡⵉⵏ ⴷ ⵙⵎⵎⵓⵙ”, “ⴰⴳⵏⴰⵔ ⴷ ⵙⵎⵎⵓⵙ“ ⴷ “ⵙⵉⵎⵔⴰⵡ ⴷ ⵙⵎⵎⵓⵙ“.","uṭṭunn. ikhṣṣa ad ur ilin izwiln g uḍṛiṣ asagm ashku zmrn ad srgn g imukrisn adday ttughran s uẓagu. tettyagal tgharast nna s ittughra kra n wuṭṭun s umnaḍ d tghiy ad tssidf arway ghr tgrumma n isfka. s umdya, uṭṭun “25” ighiy ad ittughr s unghad am “sin id mraw d smmus”, “snat tmrawin d smmus”, “agnar d smmus“ d “simraw d smmus“.","وططونن. يخصصا اد ور يلين يزويلن ڭ وضريص اساڭم اشكو زمرن اد سرڭن ڭ يموكريسن ادداي تتوغران س وزّاڭو. ت°تتياڭال تغاراست ننا س يتتوغرا كرا ن ووططون س ومناض د تغيي اد تسسيدف ارواي غر تڭرومما ن يسفكا. س ومديا, وططون “25” يغيي اد يتتوغر س ونغاد ام “سين يد مراو د سمموس”, “سنات تمراوين د سمموس”, “اڭنار د سمموس“ د “سيمراو د سمموس“."
Share your clip,ⴱⴹⵡⴰⵜ ⵜⵓⵙⵙⵉⴼⵜ ⵏⵏⵓⵏ,bḍwat tussift nnun,بضوات توسسيفت ننون
Thank you for contributing your bulk submission!,ⵜⴰⵏⵎⵎⵉⵔⵜ ⵅⴼ ⵡⴰⵔⵔⴰⴳ ⵙ ⵡⴰⵣⴰⵏⵏ ⵏⵏⵓⵏ ⴳⴳⵓⵜⵏⵉⵏ!,tanmmirt khf warrag s wazann nnun ggutnin!,تانمميرت خف وارراڭ س وازانن ننون ڭڭوتنين!
"We at Mozilla are building a community around voice technology. We would like to stay in touch with updates, new data sources and to hear more about how you're using this data.","ⵏⴽⴽⵏⵉ ⴳ ⵎⵓⵣⵉⵍⴰ, ⵍⴰ ⵏⵥⴽⴽⵓ ⵢⴰⵜ ⵜⴳⵔⴰⵡⵜ ⵅⴼ ⵜⴻⵜⵉⴽⵏⵓⵍⵓⵊⵉⵜ ⵜⴰⴳⵕⴹⴰⵏⵜ. ⵏⵔⴰ ⴰⴷ ⵏⴻⵏⵏⵖⵎⵙ ⵅⴼ ⵉⵙⴷⵖⵉⵜⵏ, ⵉⵙⵓⴳⴰⵎ ⵏ ⵉⵙⴼⴽⴰ ⵉⵎⴰⵢⵏⵓⵜⵏ ⴷ ⴰⴷ ⵏⵙⵙⵏ ⵓⴳⴳⴰⵔ ⵅⴼ ⵎⴰⵏⵎⴽ ⵙ ⵜⵙⵙⵎⵔⴰⵙⵎ ⵉⵙⴼⴽⴰ ⴰ.","nkkni g muzila, la nẓkku yat tgrawt khf tetiknulujit tagṛḍant. nra ad nennghms khf isdghitn, isugam n isfka imaynutn d ad nssn uggar khf manmk s tssmrasm isfka a.","نككني ڭ موزيلا, لا نزّككو يات تڭراوت خف ت°تيكنولوجيت تاڭرضانت. نرا اد ن°ننغمس خف يسدغيتن, يسوڭام ن يسفكا يماينوتن د اد نسسن وڭڭار خف مانمك س تسسمراسم يسفكا ا."
It is written in a language different than what I’m speaking.,ⵜⴻⵜⵜⵢⴰⵔⴰ ⵙ ⵢⴰⵜ ⵜⵓⵜⵍⴰⵢⵜ ⵉⵎⵣⴰⵔⴰⵢⵏ ⵅⴼ ⵜⴰⴷⴰ ⵙⴰⵡⴰⵍⵖ.,tettyara s yat tutlayt imzarayn khf tada sawalgh.,ت°تتيارا س يات توتلايت يمزاراين خف تادا ساوالغ.
Still have questions?,ⵖⵓⵔⵓⵏ ⵙⵓⵍ ⵉⵙⵇⵙⵉⵜⵏ?,ghurun sul isqsitn?,غورون سول يسقسيتن?
Choose language/localization,ⴷⵖⵔ ⵜⵓⵜⵍⴰⵢⵜ/ⵜⴰⵙⵙⴷⵖⵔⵜ,dghr tutlayt/tassdghrt,دغر توتلايت/تاسسدغرت
Punjabi,ⵜⴰⴱⵏⵊⴰⴱⵉⵜ,tabnjabit,تابنجابيت
Estonian,ⵜⴰⵢⵙⵜⵓⵏⵉⵜ,taystunit,تايستونيت
Firefox Send,ⴼⴰⵢⵔⴼⵓⴽⵙ ⵙⵉⵏⴷ,fayrfuks sind,فايرفوكس سيند
What does it mean that I can’t “determine the identity” of speakers in the Common Voice dataset?,ⵎⴰⵏⵎⴽ ⵣⵄⵎⴰ ⵓⵔ ⵣⵎⵉⵔⵖ “ⴰⴷ ⵙⵡⵓⵜⵜⵓⵖ ⵜⴰⵎⴰⴳⵉⵜ” ⵏ ⵉⵎⵙⵉⵡⵍⵏ ⴳ ⵜⴳⵔⵓⵎⵎⴰ ⵏ ⵉⵙⴼⴽⴰ ⵏ ⴽⴰⵎⵏⴼⵓⵢⵙ?,manmk z3ma ur zmirgh “ad swuttugh tamagit” n imsiwln g tgrumma n isfka n kamnfuys?,مانمك زعما ور زميرغ “اد سووتتوغ تاماڭيت” ن يمسيولن ڭ تڭرومما ن يسفكا ن كامنفويس?
The clip has disrespectful or offensive language.,ⵜⵓⵙⵙⵉⴼⵜ ⴳⵉⵙ ⴰⵡⴰⵍ ⵎⴽⴽⵙ-ⴰⵣⵔⴰⴽ ⵏⵉⵖ ⴳⴰⵔ ⴰⵡⴰⵍ.,tussift gis awal mkks-azrak nigh gar awal.,توسسيفت ڭيس اوال مككس-ازراك نيغ ڭار اوال.
Submission Error,ⵜⴰⵣⴳⵍⵜ ⵏ ⵡⴰⵣⴰⵏ,tazglt n wazan,تازڭلت ن وازان
"There should ideally be no digits in the source text because they can cause problems when read aloud. The way a number is read depends on context and might introduce confusion in the dataset. For example, the number “2409” could be accurately read as both “twenty-four zero nine” and “two thousand four hundred nine”.","ⵙ ⵜⴼⵉⵍⴰⵡⵜ, ⵉⵅⵚⵚⴰ ⴰⴷ ⵓⵔ ⵉⵍⵉⵏ ⵉⵣⵡⵉⵍⵏ ⴳ ⵓⴹⵕⵉⵚ ⴰⵙⴰⴳⵎ ⴰⵛⴽⵓ ⵣⵎⵔⵏ ⴰⴷ ⵙⵔⴳⵏ ⴳ ⵉⵎⵓⴽⵔⵉⵙⵏ ⴰⴷⴷⴰⵢ ⵜⵜⵓⵖⵔⴰⵏ ⵙ ⵓⵥⴰⴳⵓ. ⵜⴻⵜⵜⵢⴰⴳⴰⵍ ⵜⵖⴰⵔⴰⵙⵜ ⵏⵏⴰ ⵙ ⵉⵜⵜⵓⵖⵔⴰ ⴽⵔⴰ ⵏ ⵡⵓⵟⵟⵓⵏ ⵙ ⵓⵎⵏⴰⴹ ⴷ ⵜⵖⵉⵢ ⴰⴷ ⵜⵙⵙⵉⴷⴼ ⴰⵔⵡⴰⵢ ⵖⵔ ⵜⴳⵔⵓⵎⵎⴰ ⵏ ⵉⵙⴼⴽⴰ. ⵙ ⵓⵎⴷⵢⴰ, ⵓⵟⵟⵓⵏ “25” ⵉⵖⵉⵢ ⴰⴷ ⵉⵜⵜⵓⵖⵔ ⵙ ⵓⵏⵖⴰⴷ ⴰⵎ “ⵙⵉⵏ ⵉⴷ ⵎⵔⴰⵡ ⴷ ⵙⵎⵎⵓⵙ”, “ⵙⵏⴰⵜ ⵜⵎⵔⴰⵡⵉⵏ ⴷ ⵙⵎⵎⵓⵙ”, “ⴰⴳⵏⴰⵔ ⴷ ⵙⵎⵎⵓⵙ“ ⴷ “ⵙⵉⵎⵔⴰⵡ ⴷ ⵙⵎⵎⵓⵙ“.","s tfilawt, ikhṣṣa ad ur ilin izwiln g uḍṛiṣ asagm ashku zmrn ad srgn g imukrisn adday ttughran s uẓagu. tettyagal tgharast nna s ittughra kra n wuṭṭun s umnaḍ d tghiy ad tssidf arway ghr tgrumma n isfka. s umdya, uṭṭun “25” ighiy ad ittughr s unghad am “sin id mraw d smmus”, “snat tmrawin d smmus”, “agnar d smmus“ d “simraw d smmus“.","س تفيلاوت, يخصصا اد ور يلين يزويلن ڭ وضريص اساڭم اشكو زمرن اد سرڭن ڭ يموكريسن ادداي تتوغران س وزّاڭو. ت°تتياڭال تغاراست ننا س يتتوغرا كرا ن ووططون س ومناض د تغيي اد تسسيدف ارواي غر تڭرومما ن يسفكا. س ومديا, وططون “25” يغيي اد يتتوغر س ونغاد ام “سين يد مراو د سمموس”, “سنات تمراوين د سمموس”, “اڭنار د سمموس“ د “سيمراو د سمموس“."
Romansh Vallader,ⵜⴰⴼⴰⵍⴰⴷⵉⵔⵉⵜ ⵜⴰⵕⵓⵎⴰⵏⵛⵉⵜ,tafaladirit taṛumanshit,تافالاديريت تارومانشيت
"I'd like to receive emails such as goal reminders, my progress updates and newsletters about Common Voice.","ⵔⵉⵖ ⴰⴷ ⵜⵜⴰⵎⵥⵖ ⵉⵎⴰⵢⵍⵏ ⴰⵎ ⵓⵙⴽⵜⵉ ⵙ ⵉⵡⵜⵜⴰⵙⵏ, ⵉⵙⴷⵖⵉⵜⵏ ⵅⴼ ⵡⴰⵍⴰⵢ ⵉⵏⵓ ⴷ ⵜⴱⵔⴰⵜⵉⵏ ⵏ ⵉⵏⵖⵎⵉⵙⵏ ⵅⴼ ⴽⴰⵎⵏⴼⵓⵢⵙ.","righ ad ttamẓgh imayln am uskti s iwttasn, isdghitn khf walay inu d tbratin n inghmisn khf kamnfuys.","ريغ اد تتامزّغ يمايلن ام وسكتي س يوتتاسن, يسدغيتن خف والاي ينو د تبراتين ن ينغميسن خف كامنفويس."
Clips Uploaded,ⵜⵓⵙⵙⵉⴼⵉⵏ ⴽⵜⵔⵏⵉⵏ,tussifin ktrnin,توسسيفين كترنين
"Letters must be valid in the language being spoken. For example, “ж” is a letter in the Russian alphabet but is never used in English and so should never appear in any English source text.","ⵉⵇⵇⴰⵏ ⴷ ⵉⵙⴽⴽⵉⵍⵏ ⴰⴷ ⵣⵔⵢⵏ ⴳ ⵜⵓⵜⵍⴰⵢⵜ ⵏ ⵡⴰⵡⴰⵍ. ⵙ ⵓⵎⴷⵢⴰ, “ⵘ” ⵉⴳⴰ ⴰⵙⴽⴽⵉⵍ ⵏ ⵜⴼⵉⵏⴰⵖ ⵎⴰⵛⴰ ⵓⵔ ⵍⴰ ⵜ ⵙⴰⵔ ⵏⵙⵙⵎⵔⴰⵙ ⴳ ⵜⵎⴰⵣⵉⵖⵜ ⵜⴰⵏⴰⵡⴰⵢⵜ ⵓⴽⴰⵏ ⵓⵔ ⵉⵅⵚⵚⴰ ⴰⴷ ⵙⴰⵔ ⵢⵓⵎⴰⵏ ⴳ ⵓⵍⴰ ⴽⵔⴰ ⵏ ⵓⴹⵕⵉⵚ ⴰⵙⴰⴳⵎ ⵏ ⵜⵎⴰⵣⵉⵖⵜ.","iqqan d iskkiln ad zryn g tutlayt n wawal. s umdya, “ⵘ” iga askkil n tfinagh masha ur la t sar nssmras g tmazight tanawayt ukan ur ikhṣṣa ad sar yuman g ula kra n uḍṛiṣ asagm n tmazight.","يققان د يسككيلن اد زرين ڭ توتلايت ن واوال. س ومديا, “ⵘ” يڭا اسككيل ن تفيناغ ماشا ور لا ت سار نسسمراس ڭ تمازيغت تاناوايت وكان ور يخصصا اد سار يومان ڭ ولا كرا ن وضريص اساڭم ن تمازيغت."
Unexpected response returned from server,ⵜⴰⵖⵓⵍ ⴷ ⵢⴰⵜ ⵜⵎⵔⴰⵔⵓⵜ ⵜⴰⵔⴰⵜⴰⵎⵜ ⵙⴳ ⵓⵎⴰⴽⴽⴰⵢ,taghul d yat tmrarut taratamt sg umakkay,تاغول د يات تمراروت تاراتامت سڭ وماككاي
We may not have received that request. Please email us directly on <emailLink>{ $email }</emailLink> and we will get back to you!,"ⵃⴰⵇⵇⴰⵏ ⵓⵔ ⴰⵏⵖ ⴷ ⵜⵍⴽⵉⵎ ⵜⵓⵜⵜⵔⴰ ⴰⵏⵏ. ⵎⴽ ⵜⵓⴼⴰⵎ ⴰⵣⵏⴰⵜ ⴰⵏⵖ ⵉⵎⴰⵢⵍ ⵙ ⵓⵙⵔⵉⴷ ⴳ <emailLink>{ $email }</emailLink>, ⵔⴰⴷ ⴰⵡⵏ ⵏⵔⴰⵔ!","ḥaqqan ur angh d tlkim tuttra ann. mk tufam aznat angh imayl s usrid g <emailLink>{ $email }</emailLink>, rad awn nrar!","حاققان ور انغ د تلكيم توتترا انن. مك توفام ازنات انغ يمايل س وسريد ڭ <emailLink>{ $email }</emailLink>, راد اون نرار!"
Donate,ⵜⵉⴽⴽⵉ,tikki,تيككي
Contact the Common Voice team,ⵎⵢⴰⵡⴰⴹⴰⵜ ⴰⴽⴷ ⵜⵔⴰⴱⴱⵓⵜ ⵏ ⴽⴰⵎⵏⴼⵓⵢⵙ,myawaḍat akd trabbut n kamnfuys,مياواضات اكد تراببوت ن كامنفويس
This is approximately the number of hours required to train a production speech-to-text system.,ⵡⴰ ⴰⴷ ⵉⴳⴰⵏ ⵙ ⵡⴰⵜⵜⴰⵢⵏ ⵓⵟⵟⵓⵏ ⵏ ⵜⵙⵔⴰⴳⵉⵏ ⴷ ⵉⵇⵇⴰⵏⵏ ⵉ ⵓⵙⴰⵏⵓⵏ ⵏ ⵢⴰⵏ  ⵓⵏⴳⵔⴰⵡ ⵏ ⵓⴼⴰⵔⵙ ⵏ ⵡⴰⵡⴰⵍ-ⵖⵔ-ⵓⴹⵕⵉⵚ.,wa ad igan s wattayn uṭṭun n tsragin d iqqann i usanun n yan  ungraw n ufars n wawal-ghr-uḍṛiṣ.,وا اد يڭان س واتتاين وططون ن تسراڭين د يققانن ي وسانون ن يان  ونڭراو ن وفارس ن واوال-غر-وضريص.
Great!<recordIcon></recordIcon> Record your next clip,ⴰⵢⵢⵓⵣ!<recordIcon></recordIcon> ⵙⵓⵙⵔⴰⵜ ⵜⵓⵙⵙⵉⴼⵜ ⵜⵓⴹⴼⵉⵕⵜ ⵏⵏⵓⵏ,ayyuz!<recordIcon></recordIcon> susrat tussift tuḍfiṛt nnun,اييوز!<recordIcon></recordIcon> سوسرات توسسيفت توضفيرت ننون
Upload in progress...,ⴰⵙⴽⵜⵔ ⴳ ⵡⴰⵍⴰⵢ...,asktr g walay...,اسكتر ڭ والاي...
